model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
ru_modern_bert_base,0.0,0.0,1.0,0.7161000000000002
ru_modern_bert_base,0.0,0.02,0.98,0.7202999999999999
ru_modern_bert_base,0.0,0.04,0.96,0.7242000000000001
ru_modern_bert_base,0.0,0.06,0.94,0.7264
ru_modern_bert_base,0.0,0.08,0.92,0.7253999999999999
ru_modern_bert_base,0.0,0.1,0.9,0.7233999999999999
ru_modern_bert_base,0.0,0.12,0.88,0.7242000000000001
ru_modern_bert_base,0.0,0.14,0.86,0.7255
ru_modern_bert_base,0.0,0.16,0.84,0.723
ru_modern_bert_base,0.0,0.18,0.8200000000000001,0.7222000000000001
ru_modern_bert_base,0.0,0.2,0.8,0.7212000000000001
ru_modern_bert_base,0.0,0.22,0.78,0.7208
ru_modern_bert_base,0.0,0.24,0.76,0.7201000000000001
ru_modern_bert_base,0.0,0.26,0.74,0.7182999999999999
ru_modern_bert_base,0.0,0.28,0.72,0.717
ru_modern_bert_base,0.0,0.3,0.7,0.7161
ru_modern_bert_base,0.0,0.32,0.6799999999999999,0.715
ru_modern_bert_base,0.0,0.34,0.6599999999999999,0.7128
ru_modern_bert_base,0.0,0.36,0.64,0.7118
ru_modern_bert_base,0.0,0.38,0.62,0.7102
ru_modern_bert_base,0.0,0.4,0.6,0.7088
ru_modern_bert_base,0.0,0.42,0.5800000000000001,0.7078
ru_modern_bert_base,0.0,0.44,0.56,0.7071
ru_modern_bert_base,0.0,0.46,0.54,0.7051000000000001
ru_modern_bert_base,0.0,0.48,0.52,0.704
ru_modern_bert_base,0.0,0.5,0.5,0.7025
ru_modern_bert_base,0.0,0.52,0.48,0.7027
ru_modern_bert_base,0.0,0.54,0.45999999999999996,0.7018
ru_modern_bert_base,0.0,0.56,0.43999999999999995,0.7012999999999999
ru_modern_bert_base,0.0,0.58,0.42000000000000004,0.7005999999999999
ru_modern_bert_base,0.0,0.6,0.4,0.6992
ru_modern_bert_base,0.0,0.62,0.38,0.6990000000000001
ru_modern_bert_base,0.0,0.64,0.36,0.6974
ru_modern_bert_base,0.0,0.66,0.33999999999999997,0.6972
ru_modern_bert_base,0.0,0.68,0.31999999999999995,0.6965
ru_modern_bert_base,0.0,0.7000000000000001,0.29999999999999993,0.6962
ru_modern_bert_base,0.0,0.72,0.28,0.6959000000000001
ru_modern_bert_base,0.0,0.74,0.26,0.6952
ru_modern_bert_base,0.0,0.76,0.24,0.695
ru_modern_bert_base,0.0,0.78,0.21999999999999997,0.6946
ru_modern_bert_base,0.0,0.8,0.19999999999999996,0.6935999999999999
ru_modern_bert_base,0.0,0.8200000000000001,0.17999999999999994,0.6928999999999998
ru_modern_bert_base,0.0,0.84,0.16000000000000003,0.6926
ru_modern_bert_base,0.0,0.86,0.14,0.692
ru_modern_bert_base,0.0,0.88,0.12,0.6912
ru_modern_bert_base,0.0,0.9,0.09999999999999998,0.6908000000000001
ru_modern_bert_base,0.0,0.92,0.07999999999999996,0.6901
ru_modern_bert_base,0.0,0.9400000000000001,0.05999999999999994,0.6897
ru_modern_bert_base,0.0,0.96,0.040000000000000036,0.6896
ru_modern_bert_base,0.0,0.98,0.020000000000000018,0.6896
ru_modern_bert_base,0.0,1.0,0.0,0.6857000000000001
ru_modern_bert_base,0.02,0.0,0.98,0.7208
ru_modern_bert_base,0.02,0.02,0.96,0.724
ru_modern_bert_base,0.02,0.04,0.94,0.7265999999999999
ru_modern_bert_base,0.02,0.06,0.9199999999999999,0.7258000000000001
ru_modern_bert_base,0.02,0.08,0.9,0.7232999999999999
ru_modern_bert_base,0.02,0.1,0.88,0.7250999999999999
ru_modern_bert_base,0.02,0.12,0.86,0.7257
ru_modern_bert_base,0.02,0.14,0.84,0.7237
ru_modern_bert_base,0.02,0.16,0.82,0.7227
ru_modern_bert_base,0.02,0.18,0.8,0.7208
ru_modern_bert_base,0.02,0.2,0.78,0.7204
ru_modern_bert_base,0.02,0.22,0.76,0.7192
ru_modern_bert_base,0.02,0.24,0.74,0.7182000000000001
ru_modern_bert_base,0.02,0.26,0.72,0.7169000000000001
ru_modern_bert_base,0.02,0.28,0.7,0.7159
ru_modern_bert_base,0.02,0.3,0.6799999999999999,0.7148
ru_modern_bert_base,0.02,0.32,0.6599999999999999,0.7129000000000001
ru_modern_bert_base,0.02,0.34,0.6399999999999999,0.7112
ru_modern_bert_base,0.02,0.36,0.62,0.71
ru_modern_bert_base,0.02,0.38,0.6,0.709
ru_modern_bert_base,0.02,0.4,0.58,0.708
ru_modern_bert_base,0.02,0.42,0.56,0.7066999999999999
ru_modern_bert_base,0.02,0.44,0.54,0.7052999999999999
ru_modern_bert_base,0.02,0.46,0.52,0.7044
ru_modern_bert_base,0.02,0.48,0.5,0.7028000000000001
ru_modern_bert_base,0.02,0.5,0.48,0.7026
ru_modern_bert_base,0.02,0.52,0.45999999999999996,0.7024000000000001
ru_modern_bert_base,0.02,0.54,0.43999999999999995,0.7015
ru_modern_bert_base,0.02,0.56,0.41999999999999993,0.7002
ru_modern_bert_base,0.02,0.58,0.4,0.6995
ru_modern_bert_base,0.02,0.6,0.38,0.6989000000000001
ru_modern_bert_base,0.02,0.62,0.36,0.6975
ru_modern_bert_base,0.02,0.64,0.33999999999999997,0.6969000000000001
ru_modern_bert_base,0.02,0.66,0.31999999999999995,0.6964000000000001
