model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
google_bert,0.0,0.0,1.0,0.7035
google_bert,0.0,0.02,0.98,0.7076
google_bert,0.0,0.04,0.96,0.7116
google_bert,0.0,0.06,0.94,0.7163999999999999
google_bert,0.0,0.08,0.92,0.7192999999999999
google_bert,0.0,0.1,0.9,0.7214
google_bert,0.0,0.12,0.88,0.7246
google_bert,0.0,0.14,0.86,0.7266
google_bert,0.0,0.16,0.84,0.7288
google_bert,0.0,0.18,0.8200000000000001,0.7303
google_bert,0.0,0.2,0.8,0.7299
google_bert,0.0,0.22,0.78,0.73
google_bert,0.0,0.24,0.76,0.7293
google_bert,0.0,0.26,0.74,0.7299000000000001
google_bert,0.0,0.28,0.72,0.7293999999999999
google_bert,0.0,0.3,0.7,0.7299000000000001
google_bert,0.0,0.32,0.6799999999999999,0.7277
google_bert,0.0,0.34,0.6599999999999999,0.7263
google_bert,0.0,0.36,0.64,0.7258
google_bert,0.0,0.38,0.62,0.7248
google_bert,0.0,0.4,0.6,0.7242000000000001
google_bert,0.0,0.42,0.5800000000000001,0.7238
google_bert,0.0,0.44,0.56,0.7231000000000001
google_bert,0.0,0.46,0.54,0.7223999999999999
google_bert,0.0,0.48,0.52,0.7206999999999999
google_bert,0.0,0.5,0.5,0.72
google_bert,0.0,0.52,0.48,0.7182
google_bert,0.0,0.54,0.45999999999999996,0.7169
google_bert,0.0,0.56,0.43999999999999995,0.7149
google_bert,0.0,0.58,0.42000000000000004,0.7138
google_bert,0.0,0.6,0.4,0.7128
google_bert,0.0,0.62,0.38,0.7102
google_bert,0.0,0.64,0.36,0.7087
google_bert,0.0,0.66,0.33999999999999997,0.7079000000000001
google_bert,0.0,0.68,0.31999999999999995,0.7061999999999999
google_bert,0.0,0.7000000000000001,0.29999999999999993,0.7055
google_bert,0.0,0.72,0.28,0.7044000000000001
google_bert,0.0,0.74,0.26,0.7032999999999999
google_bert,0.0,0.76,0.24,0.7015999999999999
google_bert,0.0,0.78,0.21999999999999997,0.7011000000000001
google_bert,0.0,0.8,0.19999999999999996,0.7004000000000001
google_bert,0.0,0.8200000000000001,0.17999999999999994,0.6997000000000001
google_bert,0.0,0.84,0.16000000000000003,0.6989
google_bert,0.0,0.86,0.14,0.698
google_bert,0.0,0.88,0.12,0.6964
google_bert,0.0,0.9,0.09999999999999998,0.6952
google_bert,0.0,0.92,0.07999999999999996,0.6943
google_bert,0.0,0.9400000000000001,0.05999999999999994,0.6922
google_bert,0.0,0.96,0.040000000000000036,0.6915
google_bert,0.0,0.98,0.020000000000000018,0.6904000000000001
google_bert,0.0,1.0,0.0,0.6857000000000001
google_bert,0.02,0.0,0.98,0.7071999999999999
google_bert,0.02,0.02,0.96,0.7111
google_bert,0.02,0.04,0.94,0.716
google_bert,0.02,0.06,0.9199999999999999,0.7195
google_bert,0.02,0.08,0.9,0.7211000000000001
google_bert,0.02,0.1,0.88,0.7248
google_bert,0.02,0.12,0.86,0.7265
google_bert,0.02,0.14,0.84,0.7285
google_bert,0.02,0.16,0.82,0.7303
google_bert,0.02,0.18,0.8,0.7299
google_bert,0.02,0.2,0.78,0.73
google_bert,0.02,0.22,0.76,0.7301
google_bert,0.02,0.24,0.74,0.7301000000000001
google_bert,0.02,0.26,0.72,0.7295999999999999
google_bert,0.02,0.28,0.7,0.7288
google_bert,0.02,0.3,0.6799999999999999,0.7277
google_bert,0.02,0.32,0.6599999999999999,0.7263999999999999
google_bert,0.02,0.34,0.6399999999999999,0.7254
google_bert,0.02,0.36,0.62,0.7245999999999999
google_bert,0.02,0.38,0.6,0.7241000000000001
google_bert,0.02,0.4,0.58,0.7238
google_bert,0.02,0.42,0.56,0.7225999999999999
google_bert,0.02,0.44,0.54,0.7222999999999999
google_bert,0.02,0.46,0.52,0.7209
google_bert,0.02,0.48,0.5,0.7195
google_bert,0.02,0.5,0.48,0.719
google_bert,0.02,0.52,0.45999999999999996,0.7169
google_bert,0.02,0.54,0.43999999999999995,0.7149
google_bert,0.02,0.56,0.41999999999999993,0.7137
google_bert,0.02,0.58,0.4,0.7127
google_bert,0.02,0.6,0.38,0.7102
google_bert,0.02,0.62,0.36,0.7086
google_bert,0.02,0.64,0.33999999999999997,0.7076
google_bert,0.02,0.66,0.31999999999999995,0.7067
google_bert,0.02,0.68,0.29999999999999993,0.7052999999999999
google_bert,0.02,0.7000000000000001,0.2799999999999999,0.7045
google_bert,0.02,0.72,0.26,0.7028
google_bert,0.02,0.74,0.24,0.702
google_bert,0.02,0.76,0.21999999999999997,0.7006
google_bert,0.02,0.78,0.19999999999999996,0.7002
google_bert,0.02,0.8,0.17999999999999994,0.6998000000000001
google_bert,0.02,0.8200000000000001,0.15999999999999992,0.6989
google_bert,0.02,0.84,0.14,0.6982
google_bert,0.02,0.86,0.12,0.697
google_bert,0.02,0.88,0.09999999999999998,0.6955
google_bert,0.02,0.9,0.07999999999999996,0.6938000000000001
google_bert,0.02,0.92,0.05999999999999994,0.6922
google_bert,0.02,0.9400000000000001,0.039999999999999925,0.6914000000000001
google_bert,0.02,0.96,0.020000000000000018,0.6902
google_bert,0.02,0.98,0.0,0.6857000000000001
google_bert,0.04,0.0,0.96,0.7104000000000001
google_bert,0.04,0.02,0.94,0.7157
google_bert,0.04,0.04,0.9199999999999999,0.7187
google_bert,0.04,0.06,0.8999999999999999,0.7216
google_bert,0.04,0.08,0.88,0.725
google_bert,0.04,0.1,0.86,0.7268
google_bert,0.04,0.12,0.84,0.7283999999999999
google_bert,0.04,0.14,0.82,0.7295
google_bert,0.04,0.16,0.7999999999999999,0.73
google_bert,0.04,0.18,0.78,0.7298
google_bert,0.04,0.2,0.76,0.7298000000000001
google_bert,0.04,0.22,0.74,0.73
google_bert,0.04,0.24,0.72,0.7297
google_bert,0.04,0.26,0.7,0.7287
google_bert,0.04,0.28,0.6799999999999999,0.727
google_bert,0.04,0.3,0.6599999999999999,0.7260999999999999
google_bert,0.04,0.32,0.6399999999999999,0.7254
google_bert,0.04,0.34,0.6199999999999999,0.7253
google_bert,0.04,0.36,0.6,0.7238
google_bert,0.04,0.38,0.58,0.7237
google_bert,0.04,0.4,0.5599999999999999,0.723
google_bert,0.04,0.42,0.54,0.7222000000000001
google_bert,0.04,0.44,0.52,0.721
google_bert,0.04,0.46,0.49999999999999994,0.7198000000000001
google_bert,0.04,0.48,0.48,0.7184999999999999
google_bert,0.04,0.5,0.45999999999999996,0.7172999999999999
google_bert,0.04,0.52,0.43999999999999995,0.715
google_bert,0.04,0.54,0.41999999999999993,0.714
google_bert,0.04,0.56,0.3999999999999999,0.7126
google_bert,0.04,0.58,0.38,0.7106
google_bert,0.04,0.6,0.36,0.7088
google_bert,0.04,0.62,0.33999999999999997,0.7076000000000001
google_bert,0.04,0.64,0.31999999999999995,0.7073
google_bert,0.04,0.66,0.29999999999999993,0.7055999999999999
google_bert,0.04,0.68,0.2799999999999999,0.7042999999999999
google_bert,0.04,0.7000000000000001,0.2599999999999999,0.7036
google_bert,0.04,0.72,0.24,0.7026
google_bert,0.04,0.74,0.21999999999999997,0.7012999999999999
google_bert,0.04,0.76,0.19999999999999996,0.7005
google_bert,0.04,0.78,0.17999999999999994,0.6997000000000001
google_bert,0.04,0.8,0.15999999999999992,0.6993
google_bert,0.04,0.8200000000000001,0.1399999999999999,0.6980999999999999
google_bert,0.04,0.84,0.12,0.6966
google_bert,0.04,0.86,0.09999999999999998,0.6955
google_bert,0.04,0.88,0.07999999999999996,0.6937000000000001
google_bert,0.04,0.9,0.05999999999999994,0.6925
google_bert,0.04,0.92,0.039999999999999925,0.6911
google_bert,0.04,0.9400000000000001,0.019999999999999907,0.6902
google_bert,0.04,0.96,0.0,0.686
google_bert,0.06,0.0,0.94,0.7156
google_bert,0.06,0.02,0.9199999999999999,0.7186
google_bert,0.06,0.04,0.8999999999999999,0.7215
google_bert,0.06,0.06,0.8799999999999999,0.7249000000000001
google_bert,0.06,0.08,0.86,0.7264
google_bert,0.06,0.1,0.84,0.7287
google_bert,0.06,0.12,0.82,0.7297
google_bert,0.06,0.14,0.7999999999999999,0.7303
google_bert,0.06,0.16,0.7799999999999999,0.7297
google_bert,0.06,0.18,0.76,0.7297
google_bert,0.06,0.2,0.74,0.7303999999999999
google_bert,0.06,0.22,0.72,0.7300999999999999
google_bert,0.06,0.24,0.7,0.729
google_bert,0.06,0.26,0.6799999999999999,0.7272000000000001
google_bert,0.06,0.28,0.6599999999999999,0.7256
google_bert,0.06,0.3,0.6399999999999999,0.7249000000000001
google_bert,0.06,0.32,0.6199999999999999,0.7251000000000001
google_bert,0.06,0.34,0.5999999999999999,0.7238
google_bert,0.06,0.36,0.58,0.7232000000000001
google_bert,0.06,0.38,0.5599999999999999,0.7232000000000001
google_bert,0.06,0.4,0.5399999999999999,0.7221000000000001
google_bert,0.06,0.42,0.52,0.721
google_bert,0.06,0.44,0.49999999999999994,0.72
google_bert,0.06,0.46,0.4799999999999999,0.7182
google_bert,0.06,0.48,0.45999999999999996,0.717
google_bert,0.06,0.5,0.43999999999999995,0.7149
google_bert,0.06,0.52,0.41999999999999993,0.7136
google_bert,0.06,0.54,0.3999999999999999,0.712
google_bert,0.06,0.56,0.3799999999999999,0.7105
google_bert,0.06,0.58,0.36,0.7089000000000001
google_bert,0.06,0.6,0.33999999999999997,0.7074000000000001
google_bert,0.06,0.62,0.31999999999999995,0.707
google_bert,0.06,0.64,0.29999999999999993,0.7055999999999999
google_bert,0.06,0.66,0.2799999999999999,0.7045
google_bert,0.06,0.68,0.2599999999999999,0.704
google_bert,0.06,0.7000000000000001,0.23999999999999988,0.7032
google_bert,0.06,0.72,0.21999999999999997,0.702
google_bert,0.06,0.74,0.19999999999999996,0.7003
google_bert,0.06,0.76,0.17999999999999994,0.6998
google_bert,0.06,0.78,0.15999999999999992,0.699
google_bert,0.06,0.8,0.1399999999999999,0.6979000000000001
google_bert,0.06,0.8200000000000001,0.11999999999999988,0.6971
google_bert,0.06,0.84,0.09999999999999998,0.6958
google_bert,0.06,0.86,0.07999999999999996,0.6942
google_bert,0.06,0.88,0.05999999999999994,0.6923
google_bert,0.06,0.9,0.039999999999999925,0.6912
google_bert,0.06,0.92,0.019999999999999907,0.6904
google_bert,0.08,0.0,0.92,0.7195
google_bert,0.08,0.02,0.9,0.7217
google_bert,0.08,0.04,0.88,0.7246
google_bert,0.08,0.06,0.8600000000000001,0.7265
google_bert,0.08,0.08,0.8400000000000001,0.728
google_bert,0.08,0.1,0.8200000000000001,0.7296
google_bert,0.08,0.12,0.8,0.73
google_bert,0.08,0.14,0.78,0.7295
google_bert,0.08,0.16,0.76,0.7295
google_bert,0.08,0.18,0.74,0.7305
google_bert,0.08,0.2,0.72,0.7299
google_bert,0.08,0.22,0.7000000000000001,0.7288000000000001
google_bert,0.08,0.24,0.68,0.7275
google_bert,0.08,0.26,0.66,0.726
google_bert,0.08,0.28,0.64,0.7245
google_bert,0.08,0.3,0.6200000000000001,0.7248
google_bert,0.08,0.32,0.6000000000000001,0.7235999999999999
google_bert,0.08,0.34,0.5800000000000001,0.7231000000000001
google_bert,0.08,0.36,0.56,0.7233
google_bert,0.08,0.38,0.54,0.7227
google_bert,0.08,0.4,0.52,0.7212999999999999
google_bert,0.08,0.42,0.5,0.7202999999999999
google_bert,0.08,0.44,0.48000000000000004,0.718
google_bert,0.08,0.46,0.46,0.7166
google_bert,0.08,0.48,0.44000000000000006,0.7151
google_bert,0.08,0.5,0.42000000000000004,0.7135
google_bert,0.08,0.52,0.4,0.7121
google_bert,0.08,0.54,0.38,0.7101000000000001
google_bert,0.08,0.56,0.36,0.7085999999999999
google_bert,0.08,0.58,0.3400000000000001,0.7077
google_bert,0.08,0.6,0.32000000000000006,0.7067
google_bert,0.08,0.62,0.30000000000000004,0.7058
google_bert,0.08,0.64,0.28,0.7046000000000001
google_bert,0.08,0.66,0.26,0.704
google_bert,0.08,0.68,0.24,0.7031000000000001
google_bert,0.08,0.7000000000000001,0.21999999999999997,0.7022
google_bert,0.08,0.72,0.20000000000000007,0.7005
google_bert,0.08,0.74,0.18000000000000005,0.6996
google_bert,0.08,0.76,0.16000000000000003,0.699
google_bert,0.08,0.78,0.14,0.6982
google_bert,0.08,0.8,0.12,0.6968
google_bert,0.08,0.8200000000000001,0.09999999999999998,0.6962999999999999
google_bert,0.08,0.84,0.08000000000000007,0.6948000000000001
google_bert,0.08,0.86,0.06000000000000005,0.6925
google_bert,0.08,0.88,0.040000000000000036,0.6918
google_bert,0.08,0.9,0.020000000000000018,0.6907000000000001
google_bert,0.08,0.92,0.0,0.6865999999999999
google_bert,0.1,0.0,0.9,0.7213999999999999
google_bert,0.1,0.02,0.88,0.724
google_bert,0.1,0.04,0.86,0.7266
google_bert,0.1,0.06,0.8400000000000001,0.7283999999999999
google_bert,0.1,0.08,0.8200000000000001,0.7292000000000001
google_bert,0.1,0.1,0.8,0.7296999999999999
google_bert,0.1,0.12,0.78,0.7298
google_bert,0.1,0.14,0.76,0.73
google_bert,0.1,0.16,0.74,0.7305
google_bert,0.1,0.18,0.72,0.7297
google_bert,0.1,0.2,0.7,0.7286
google_bert,0.1,0.22,0.68,0.7273999999999999
google_bert,0.1,0.24,0.66,0.7255
google_bert,0.1,0.26,0.64,0.7248000000000001
google_bert,0.1,0.28,0.62,0.7242
google_bert,0.1,0.3,0.6000000000000001,0.7233999999999999
google_bert,0.1,0.32,0.5800000000000001,0.7231000000000001
google_bert,0.1,0.34,0.56,0.7230999999999999
google_bert,0.1,0.36,0.54,0.7225
google_bert,0.1,0.38,0.52,0.7212999999999999
google_bert,0.1,0.4,0.5,0.7199999999999999
google_bert,0.1,0.42,0.48000000000000004,0.7179
google_bert,0.1,0.44,0.46,0.7163999999999999
google_bert,0.1,0.46,0.44,0.7152999999999999
google_bert,0.1,0.48,0.42000000000000004,0.713
google_bert,0.1,0.5,0.4,0.7119000000000001
google_bert,0.1,0.52,0.38,0.7101000000000001
google_bert,0.1,0.54,0.36,0.7091000000000001
google_bert,0.1,0.56,0.33999999999999997,0.7073
google_bert,0.1,0.58,0.32000000000000006,0.7065
google_bert,0.1,0.6,0.30000000000000004,0.7057
google_bert,0.1,0.62,0.28,0.7047
google_bert,0.1,0.64,0.26,0.7042
google_bert,0.1,0.66,0.24,0.7035999999999999
google_bert,0.1,0.68,0.21999999999999997,0.7025
google_bert,0.1,0.7000000000000001,0.19999999999999996,0.7009000000000001
google_bert,0.1,0.72,0.18000000000000005,0.6998
google_bert,0.1,0.74,0.16000000000000003,0.6987000000000001
google_bert,0.1,0.76,0.14,0.6978000000000001
google_bert,0.1,0.78,0.12,0.6969000000000001
google_bert,0.1,0.8,0.09999999999999998,0.6962
google_bert,0.1,0.8200000000000001,0.07999999999999996,0.695
google_bert,0.1,0.84,0.06000000000000005,0.693
google_bert,0.1,0.86,0.040000000000000036,0.6917000000000001
google_bert,0.1,0.88,0.020000000000000018,0.6908
google_bert,0.1,0.9,0.0,0.6862999999999999
google_bert,0.12,0.0,0.88,0.7236000000000001
google_bert,0.12,0.02,0.86,0.7265
google_bert,0.12,0.04,0.84,0.7285
google_bert,0.12,0.06,0.8200000000000001,0.7292000000000001
google_bert,0.12,0.08,0.8,0.7295
google_bert,0.12,0.1,0.78,0.7301
google_bert,0.12,0.12,0.76,0.7303
google_bert,0.12,0.14,0.74,0.7303
google_bert,0.12,0.16,0.72,0.7294
google_bert,0.12,0.18,0.7,0.729
google_bert,0.12,0.2,0.6799999999999999,0.7273999999999999
google_bert,0.12,0.22,0.66,0.7260999999999999
google_bert,0.12,0.24,0.64,0.7242999999999999
google_bert,0.12,0.26,0.62,0.7230999999999999
google_bert,0.12,0.28,0.6,0.7232000000000001
google_bert,0.12,0.3,0.5800000000000001,0.7229000000000001
google_bert,0.12,0.32,0.56,0.7228
google_bert,0.12,0.34,0.54,0.7225
google_bert,0.12,0.36,0.52,0.7219
google_bert,0.12,0.38,0.5,0.72
google_bert,0.12,0.4,0.48,0.718
google_bert,0.12,0.42,0.46,0.7163999999999999
google_bert,0.12,0.44,0.44,0.7145999999999999
google_bert,0.12,0.46,0.42,0.7132000000000001
google_bert,0.12,0.48,0.4,0.7119000000000001
google_bert,0.12,0.5,0.38,0.7099000000000001
google_bert,0.12,0.52,0.36,0.7089
google_bert,0.12,0.54,0.33999999999999997,0.708
google_bert,0.12,0.56,0.31999999999999995,0.707
google_bert,0.12,0.58,0.30000000000000004,0.7058
google_bert,0.12,0.6,0.28,0.7051000000000002
google_bert,0.12,0.62,0.26,0.7042
google_bert,0.12,0.64,0.24,0.704
google_bert,0.12,0.66,0.21999999999999997,0.7023
google_bert,0.12,0.68,0.19999999999999996,0.701
google_bert,0.12,0.7000000000000001,0.17999999999999994,0.699
google_bert,0.12,0.72,0.16000000000000003,0.6984000000000001
google_bert,0.12,0.74,0.14,0.6977000000000001
google_bert,0.12,0.76,0.12,0.6964000000000001
google_bert,0.12,0.78,0.09999999999999998,0.6960999999999999
google_bert,0.12,0.8,0.07999999999999996,0.6946
google_bert,0.12,0.8200000000000001,0.05999999999999994,0.6934
google_bert,0.12,0.84,0.040000000000000036,0.6920999999999999
google_bert,0.12,0.86,0.020000000000000018,0.691
google_bert,0.12,0.88,0.0,0.6869
google_bert,0.14,0.0,0.86,0.7265999999999999
