model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert,0.0,0.0,1.0,0.9245
sbert,0.0,0.02,0.98,0.9227000000000001
sbert,0.0,0.04,0.96,0.9225
sbert,0.0,0.06,0.94,0.9203
sbert,0.0,0.08,0.92,0.9191000000000001
sbert,0.0,0.1,0.9,0.917
sbert,0.0,0.12,0.88,0.9151
sbert,0.0,0.14,0.86,0.9119
sbert,0.0,0.16,0.84,0.9075
sbert,0.0,0.18,0.8200000000000001,0.9028
sbert,0.0,0.2,0.8,0.8984000000000001
sbert,0.0,0.22,0.78,0.8936000000000001
sbert,0.0,0.24,0.76,0.8879
sbert,0.0,0.26,0.74,0.8833
sbert,0.0,0.28,0.72,0.8781
sbert,0.0,0.3,0.7,0.8731
sbert,0.0,0.32,0.6799999999999999,0.8667999999999999
sbert,0.0,0.34,0.6599999999999999,0.861
sbert,0.0,0.36,0.64,0.8546
sbert,0.0,0.38,0.62,0.8479000000000001
sbert,0.0,0.4,0.6,0.8411000000000001
sbert,0.0,0.42,0.5800000000000001,0.8355
sbert,0.0,0.44,0.56,0.8289000000000001
sbert,0.0,0.46,0.54,0.823
sbert,0.0,0.48,0.52,0.8171000000000002
sbert,0.0,0.5,0.5,0.8115
sbert,0.0,0.52,0.48,0.8058000000000001
sbert,0.0,0.54,0.45999999999999996,0.8019
sbert,0.0,0.56,0.43999999999999995,0.7973000000000001
sbert,0.0,0.58,0.42000000000000004,0.7907000000000001
sbert,0.0,0.6,0.4,0.7852
sbert,0.0,0.62,0.38,0.7807000000000001
sbert,0.0,0.64,0.36,0.7755
sbert,0.0,0.66,0.33999999999999997,0.7697999999999999
sbert,0.0,0.68,0.31999999999999995,0.7654000000000001
sbert,0.0,0.7000000000000001,0.29999999999999993,0.7601
sbert,0.0,0.72,0.28,0.7548
sbert,0.0,0.74,0.26,0.7505
sbert,0.0,0.76,0.24,0.7459000000000001
sbert,0.0,0.78,0.21999999999999997,0.7395
sbert,0.0,0.8,0.19999999999999996,0.735
sbert,0.0,0.8200000000000001,0.17999999999999994,0.7293999999999999
sbert,0.0,0.84,0.16000000000000003,0.7249000000000001
sbert,0.0,0.86,0.14,0.7209000000000001
sbert,0.0,0.88,0.12,0.7163
sbert,0.0,0.9,0.09999999999999998,0.7117
sbert,0.0,0.92,0.07999999999999996,0.7074000000000001
sbert,0.0,0.9400000000000001,0.05999999999999994,0.7034000000000001
sbert,0.0,0.96,0.040000000000000036,0.6998000000000001
sbert,0.0,0.98,0.020000000000000018,0.6956
sbert,0.0,1.0,0.0,0.6857000000000001
sbert,0.02,0.0,0.98,0.9227000000000001
sbert,0.02,0.02,0.96,0.9217000000000001
sbert,0.02,0.04,0.94,0.9201
sbert,0.02,0.06,0.9199999999999999,0.9189
sbert,0.02,0.08,0.9,0.9168
sbert,0.02,0.1,0.88,0.9150999999999999
sbert,0.02,0.12,0.86,0.9116000000000001
sbert,0.02,0.14,0.84,0.9071
sbert,0.02,0.16,0.82,0.9030000000000001
sbert,0.02,0.18,0.8,0.8987
sbert,0.02,0.2,0.78,0.8943
sbert,0.02,0.22,0.76,0.8883
sbert,0.02,0.24,0.74,0.8835000000000001
sbert,0.02,0.26,0.72,0.8778
sbert,0.02,0.28,0.7,0.8727
sbert,0.02,0.3,0.6799999999999999,0.8661
sbert,0.02,0.32,0.6599999999999999,0.8603999999999999
sbert,0.02,0.34,0.6399999999999999,0.8545999999999999
sbert,0.02,0.36,0.62,0.8478
sbert,0.02,0.38,0.6,0.8408
sbert,0.02,0.4,0.58,0.8355000000000001
sbert,0.02,0.42,0.56,0.8289
sbert,0.02,0.44,0.54,0.8231000000000002
sbert,0.02,0.46,0.52,0.8172
sbert,0.02,0.48,0.5,0.8112999999999999
sbert,0.02,0.5,0.48,0.8059000000000001
sbert,0.02,0.52,0.45999999999999996,0.8018
sbert,0.02,0.54,0.43999999999999995,0.7968
sbert,0.02,0.56,0.41999999999999993,0.7906
sbert,0.02,0.58,0.4,0.785
sbert,0.02,0.6,0.38,0.7809
sbert,0.02,0.62,0.36,0.775
sbert,0.02,0.64,0.33999999999999997,0.7697
sbert,0.02,0.66,0.31999999999999995,0.7653
sbert,0.02,0.68,0.29999999999999993,0.7599000000000001
sbert,0.02,0.7000000000000001,0.2799999999999999,0.7555
sbert,0.02,0.72,0.26,0.7501
sbert,0.02,0.74,0.24,0.7459
sbert,0.02,0.76,0.21999999999999997,0.74
sbert,0.02,0.78,0.19999999999999996,0.7347
sbert,0.02,0.8,0.17999999999999994,0.7295
sbert,0.02,0.8200000000000001,0.15999999999999992,0.7251000000000002
sbert,0.02,0.84,0.14,0.7208
sbert,0.02,0.86,0.12,0.7169
sbert,0.02,0.88,0.09999999999999998,0.7117
sbert,0.02,0.9,0.07999999999999996,0.7075
sbert,0.02,0.92,0.05999999999999994,0.7037
sbert,0.02,0.9400000000000001,0.039999999999999925,0.7
sbert,0.02,0.96,0.020000000000000018,0.6955
sbert,0.02,0.98,0.0,0.6857000000000001
sbert,0.04,0.0,0.96,0.9217000000000001
sbert,0.04,0.02,0.94,0.92
sbert,0.04,0.04,0.9199999999999999,0.9187000000000001
sbert,0.04,0.06,0.8999999999999999,0.9168000000000001
sbert,0.04,0.08,0.88,0.9145
sbert,0.04,0.1,0.86,0.9116000000000001
sbert,0.04,0.12,0.84,0.9075
sbert,0.04,0.14,0.82,0.9027999999999999
sbert,0.04,0.16,0.7999999999999999,0.899
sbert,0.04,0.18,0.78,0.8947
sbert,0.04,0.2,0.76,0.8885
sbert,0.04,0.22,0.74,0.8831
sbert,0.04,0.24,0.72,0.8775000000000002
sbert,0.04,0.26,0.7,0.8726
sbert,0.04,0.28,0.6799999999999999,0.8663
sbert,0.04,0.3,0.6599999999999999,0.8608000000000001
sbert,0.04,0.32,0.6399999999999999,0.8547
sbert,0.04,0.34,0.6199999999999999,0.8478000000000001
sbert,0.04,0.36,0.6,0.8405
sbert,0.04,0.38,0.58,0.8353
sbert,0.04,0.4,0.5599999999999999,0.8291000000000002
sbert,0.04,0.42,0.54,0.8236000000000001
sbert,0.04,0.44,0.52,0.8172
sbert,0.04,0.46,0.49999999999999994,0.8108000000000002
sbert,0.04,0.48,0.48,0.8057000000000001
sbert,0.04,0.5,0.45999999999999996,0.8013000000000001
sbert,0.04,0.52,0.43999999999999995,0.7971
sbert,0.04,0.54,0.41999999999999993,0.7904
sbert,0.04,0.56,0.3999999999999999,0.7848999999999999
sbert,0.04,0.58,0.38,0.7807000000000001
sbert,0.04,0.6,0.36,0.7748
sbert,0.04,0.62,0.33999999999999997,0.7702
sbert,0.04,0.64,0.31999999999999995,0.7653000000000001
sbert,0.04,0.66,0.29999999999999993,0.7603
sbert,0.04,0.68,0.2799999999999999,0.7554
sbert,0.04,0.7000000000000001,0.2599999999999999,0.7506
sbert,0.04,0.72,0.24,0.7462000000000001
sbert,0.04,0.74,0.21999999999999997,0.7401
sbert,0.04,0.76,0.19999999999999996,0.735
sbert,0.04,0.78,0.17999999999999994,0.7297
sbert,0.04,0.8,0.15999999999999992,0.7255
sbert,0.04,0.8200000000000001,0.1399999999999999,0.721
sbert,0.04,0.84,0.12,0.7178
sbert,0.04,0.86,0.09999999999999998,0.7121000000000001
sbert,0.04,0.88,0.07999999999999996,0.7079000000000001
sbert,0.04,0.9,0.05999999999999994,0.7035
sbert,0.04,0.92,0.039999999999999925,0.7001000000000001
sbert,0.04,0.9400000000000001,0.019999999999999907,0.6957000000000001
sbert,0.04,0.96,0.0,0.686
sbert,0.06,0.0,0.94,0.9198
sbert,0.06,0.02,0.9199999999999999,0.9185000000000001
sbert,0.06,0.04,0.8999999999999999,0.9167000000000001
sbert,0.06,0.06,0.8799999999999999,0.9145999999999999
