model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
bert,0.0,0.0,1.0,0.7208
bert,0.0,0.02,0.98,0.7258
bert,0.0,0.04,0.96,0.7283999999999999
bert,0.0,0.06,0.94,0.7308
bert,0.0,0.08,0.92,0.7337
bert,0.0,0.1,0.9,0.7349000000000001
bert,0.0,0.12,0.88,0.7364
bert,0.0,0.14,0.86,0.737
bert,0.0,0.16,0.84,0.7379
bert,0.0,0.18,0.8200000000000001,0.7386
bert,0.0,0.2,0.8,0.7390999999999999
bert,0.0,0.22,0.78,0.7396
bert,0.0,0.24,0.76,0.7399000000000001
bert,0.0,0.26,0.74,0.7397
bert,0.0,0.28,0.72,0.738
bert,0.0,0.3,0.7,0.7359000000000001
bert,0.0,0.32,0.6799999999999999,0.7355
bert,0.0,0.34,0.6599999999999999,0.7343
bert,0.0,0.36,0.64,0.7341
bert,0.0,0.38,0.62,0.7338000000000001
bert,0.0,0.4,0.6,0.7325999999999999
bert,0.0,0.42,0.5800000000000001,0.7306
bert,0.0,0.44,0.56,0.7283999999999999
bert,0.0,0.46,0.54,0.7277
bert,0.0,0.48,0.52,0.7265999999999999
bert,0.0,0.5,0.5,0.7255
bert,0.0,0.52,0.48,0.7242999999999999
bert,0.0,0.54,0.45999999999999996,0.7232000000000001
bert,0.0,0.56,0.43999999999999995,0.721
bert,0.0,0.58,0.42000000000000004,0.7202000000000001
bert,0.0,0.6,0.4,0.719
bert,0.0,0.62,0.38,0.7175999999999999
bert,0.0,0.64,0.36,0.7176000000000001
bert,0.0,0.66,0.33999999999999997,0.7157
bert,0.0,0.68,0.31999999999999995,0.7133999999999999
bert,0.0,0.7000000000000001,0.29999999999999993,0.7124000000000001
bert,0.0,0.72,0.28,0.7102
bert,0.0,0.74,0.26,0.7095
bert,0.0,0.76,0.24,0.7075
bert,0.0,0.78,0.21999999999999997,0.7062
bert,0.0,0.8,0.19999999999999996,0.7045
bert,0.0,0.8200000000000001,0.17999999999999994,0.7031000000000001
bert,0.0,0.84,0.16000000000000003,0.702
bert,0.0,0.86,0.14,0.7001000000000002
bert,0.0,0.88,0.12,0.6985999999999999
bert,0.0,0.9,0.09999999999999998,0.6968000000000001
bert,0.0,0.92,0.07999999999999996,0.6949000000000001
bert,0.0,0.9400000000000001,0.05999999999999994,0.6931000000000002
bert,0.0,0.96,0.040000000000000036,0.6914
bert,0.0,0.98,0.020000000000000018,0.6904
bert,0.0,1.0,0.0,0.6857000000000001
bert,0.02,0.0,0.98,0.7257
bert,0.02,0.02,0.96,0.7280999999999999
bert,0.02,0.04,0.94,0.7306
bert,0.02,0.06,0.9199999999999999,0.7339000000000001
bert,0.02,0.08,0.9,0.7351
bert,0.02,0.1,0.88,0.7370999999999999
bert,0.02,0.12,0.86,0.737
bert,0.02,0.14,0.84,0.7375
bert,0.02,0.16,0.82,0.7387999999999999
bert,0.02,0.18,0.8,0.7394
bert,0.02,0.2,0.78,0.7393
bert,0.02,0.22,0.76,0.7392000000000001
bert,0.02,0.24,0.74,0.7397
bert,0.02,0.26,0.72,0.7377
bert,0.02,0.28,0.7,0.7357
bert,0.02,0.3,0.6799999999999999,0.7358
bert,0.02,0.32,0.6599999999999999,0.7338000000000001
bert,0.02,0.34,0.6399999999999999,0.7339
bert,0.02,0.36,0.62,0.7336
bert,0.02,0.38,0.6,0.7326
