model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
rubert_tiny_turbo,0.0,0.0,1.0,0.9094000000000001
rubert_tiny_turbo,0.0,0.02,0.98,0.9090999999999999
rubert_tiny_turbo,0.0,0.04,0.96,0.9085
rubert_tiny_turbo,0.0,0.06,0.94,0.9074000000000001
rubert_tiny_turbo,0.0,0.08,0.92,0.9065000000000001
rubert_tiny_turbo,0.0,0.1,0.9,0.9042
rubert_tiny_turbo,0.0,0.12,0.88,0.9026000000000001
rubert_tiny_turbo,0.0,0.14,0.86,0.9008
rubert_tiny_turbo,0.0,0.16,0.84,0.8983
rubert_tiny_turbo,0.0,0.18,0.8200000000000001,0.8955
rubert_tiny_turbo,0.0,0.2,0.8,0.8919000000000001
rubert_tiny_turbo,0.0,0.22,0.78,0.889
rubert_tiny_turbo,0.0,0.24,0.76,0.8847
rubert_tiny_turbo,0.0,0.26,0.74,0.8805
rubert_tiny_turbo,0.0,0.28,0.72,0.8754000000000001
rubert_tiny_turbo,0.0,0.3,0.7,0.8720000000000001
rubert_tiny_turbo,0.0,0.32,0.6799999999999999,0.8687
rubert_tiny_turbo,0.0,0.34,0.6599999999999999,0.8643
rubert_tiny_turbo,0.0,0.36,0.64,0.8597
rubert_tiny_turbo,0.0,0.38,0.62,0.8543000000000001
rubert_tiny_turbo,0.0,0.4,0.6,0.8486
rubert_tiny_turbo,0.0,0.42,0.5800000000000001,0.8443
rubert_tiny_turbo,0.0,0.44,0.56,0.8383
rubert_tiny_turbo,0.0,0.46,0.54,0.8337
rubert_tiny_turbo,0.0,0.48,0.52,0.8274000000000001
rubert_tiny_turbo,0.0,0.5,0.5,0.8212999999999999
rubert_tiny_turbo,0.0,0.52,0.48,0.815
rubert_tiny_turbo,0.0,0.54,0.45999999999999996,0.8097000000000002
rubert_tiny_turbo,0.0,0.56,0.43999999999999995,0.8036000000000001
rubert_tiny_turbo,0.0,0.58,0.42000000000000004,0.7986
rubert_tiny_turbo,0.0,0.6,0.4,0.7926
rubert_tiny_turbo,0.0,0.62,0.38,0.7875
rubert_tiny_turbo,0.0,0.64,0.36,0.7822
rubert_tiny_turbo,0.0,0.66,0.33999999999999997,0.7765
rubert_tiny_turbo,0.0,0.68,0.31999999999999995,0.7722
rubert_tiny_turbo,0.0,0.7000000000000001,0.29999999999999993,0.7662
rubert_tiny_turbo,0.0,0.72,0.28,0.7603
rubert_tiny_turbo,0.0,0.74,0.26,0.7556
rubert_tiny_turbo,0.0,0.76,0.24,0.7512000000000001
rubert_tiny_turbo,0.0,0.78,0.21999999999999997,0.7454000000000001
rubert_tiny_turbo,0.0,0.8,0.19999999999999996,0.7407999999999999
rubert_tiny_turbo,0.0,0.8200000000000001,0.17999999999999994,0.7347
rubert_tiny_turbo,0.0,0.84,0.16000000000000003,0.7298
rubert_tiny_turbo,0.0,0.86,0.14,0.7241000000000001
rubert_tiny_turbo,0.0,0.88,0.12,0.7186
rubert_tiny_turbo,0.0,0.9,0.09999999999999998,0.7137
rubert_tiny_turbo,0.0,0.92,0.07999999999999996,0.7085
rubert_tiny_turbo,0.0,0.9400000000000001,0.05999999999999994,0.7044
rubert_tiny_turbo,0.0,0.96,0.040000000000000036,0.7005999999999999
