model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
rubert_tiny2,0.0,0.0,1.0,0.7719
rubert_tiny2,0.0,0.02,0.98,0.7719000000000001
rubert_tiny2,0.0,0.04,0.96,0.774
rubert_tiny2,0.0,0.06,0.94,0.7741
rubert_tiny2,0.0,0.08,0.92,0.7726000000000001
rubert_tiny2,0.0,0.1,0.9,0.773
rubert_tiny2,0.0,0.12,0.88,0.7731000000000001
rubert_tiny2,0.0,0.14,0.86,0.7723000000000001
rubert_tiny2,0.0,0.16,0.84,0.7715
rubert_tiny2,0.0,0.18,0.8200000000000001,0.7702
rubert_tiny2,0.0,0.2,0.8,0.7685
rubert_tiny2,0.0,0.22,0.78,0.7677
rubert_tiny2,0.0,0.24,0.76,0.7646999999999999
rubert_tiny2,0.0,0.26,0.74,0.7617
rubert_tiny2,0.0,0.28,0.72,0.7597
rubert_tiny2,0.0,0.3,0.7,0.7574000000000001
rubert_tiny2,0.0,0.32,0.6799999999999999,0.7550999999999999
rubert_tiny2,0.0,0.34,0.6599999999999999,0.7524000000000001
rubert_tiny2,0.0,0.36,0.64,0.7502000000000001
rubert_tiny2,0.0,0.38,0.62,0.7486999999999999
rubert_tiny2,0.0,0.4,0.6,0.747
rubert_tiny2,0.0,0.42,0.5800000000000001,0.745
rubert_tiny2,0.0,0.44,0.56,0.7431
rubert_tiny2,0.0,0.46,0.54,0.7404000000000001
rubert_tiny2,0.0,0.48,0.52,0.7381
rubert_tiny2,0.0,0.5,0.5,0.7361
rubert_tiny2,0.0,0.52,0.48,0.7345999999999999
rubert_tiny2,0.0,0.54,0.45999999999999996,0.7316
rubert_tiny2,0.0,0.56,0.43999999999999995,0.7295
rubert_tiny2,0.0,0.58,0.42000000000000004,0.7282
rubert_tiny2,0.0,0.6,0.4,0.7256
rubert_tiny2,0.0,0.62,0.38,0.724
rubert_tiny2,0.0,0.64,0.36,0.7222000000000001
rubert_tiny2,0.0,0.66,0.33999999999999997,0.7192000000000001
rubert_tiny2,0.0,0.68,0.31999999999999995,0.718
rubert_tiny2,0.0,0.7000000000000001,0.29999999999999993,0.7169
rubert_tiny2,0.0,0.72,0.28,0.7142000000000001
rubert_tiny2,0.0,0.74,0.26,0.712
rubert_tiny2,0.0,0.76,0.24,0.7102
rubert_tiny2,0.0,0.78,0.21999999999999997,0.7077
rubert_tiny2,0.0,0.8,0.19999999999999996,0.7053
rubert_tiny2,0.0,0.8200000000000001,0.17999999999999994,0.7036
rubert_tiny2,0.0,0.84,0.16000000000000003,0.7018
rubert_tiny2,0.0,0.86,0.14,0.7008
rubert_tiny2,0.0,0.88,0.12,0.6988
rubert_tiny2,0.0,0.9,0.09999999999999998,0.6975
rubert_tiny2,0.0,0.92,0.07999999999999996,0.6964000000000001
rubert_tiny2,0.0,0.9400000000000001,0.05999999999999994,0.6954000000000001
rubert_tiny2,0.0,0.96,0.040000000000000036,0.6939
rubert_tiny2,0.0,0.98,0.020000000000000018,0.6924
rubert_tiny2,0.0,1.0,0.0,0.6857000000000001
rubert_tiny2,0.02,0.0,0.98,0.7721
rubert_tiny2,0.02,0.02,0.96,0.7737
rubert_tiny2,0.02,0.04,0.94,0.774
rubert_tiny2,0.02,0.06,0.9199999999999999,0.7732
