model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert_nlu_ru,0.0,0.0,1.0,0.7115
sbert_nlu_ru,0.0,0.02,0.98,0.7222999999999999
sbert_nlu_ru,0.0,0.04,0.96,0.7317
sbert_nlu_ru,0.0,0.06,0.94,0.7383
sbert_nlu_ru,0.0,0.08,0.92,0.7424
sbert_nlu_ru,0.0,0.1,0.9,0.747
sbert_nlu_ru,0.0,0.12,0.88,0.7497
sbert_nlu_ru,0.0,0.14,0.86,0.7517999999999999
sbert_nlu_ru,0.0,0.16,0.84,0.7517999999999999
sbert_nlu_ru,0.0,0.18,0.8200000000000001,0.7513
sbert_nlu_ru,0.0,0.2,0.8,0.7514000000000001
sbert_nlu_ru,0.0,0.22,0.78,0.7483
sbert_nlu_ru,0.0,0.24,0.76,0.7482000000000001
sbert_nlu_ru,0.0,0.26,0.74,0.7467999999999999
sbert_nlu_ru,0.0,0.28,0.72,0.7440999999999999
sbert_nlu_ru,0.0,0.3,0.7,0.7415
sbert_nlu_ru,0.0,0.32,0.6799999999999999,0.7414000000000001
sbert_nlu_ru,0.0,0.34,0.6599999999999999,0.7406
sbert_nlu_ru,0.0,0.36,0.64,0.7400999999999999
sbert_nlu_ru,0.0,0.38,0.62,0.7384000000000001
sbert_nlu_ru,0.0,0.4,0.6,0.7365
sbert_nlu_ru,0.0,0.42,0.5800000000000001,0.735
sbert_nlu_ru,0.0,0.44,0.56,0.735
sbert_nlu_ru,0.0,0.46,0.54,0.7333
sbert_nlu_ru,0.0,0.48,0.52,0.7320999999999999
sbert_nlu_ru,0.0,0.5,0.5,0.7299
sbert_nlu_ru,0.0,0.52,0.48,0.7282000000000001
sbert_nlu_ru,0.0,0.54,0.45999999999999996,0.7267
sbert_nlu_ru,0.0,0.56,0.43999999999999995,0.7237
sbert_nlu_ru,0.0,0.58,0.42000000000000004,0.7228
sbert_nlu_ru,0.0,0.6,0.4,0.7209000000000001
sbert_nlu_ru,0.0,0.62,0.38,0.719
sbert_nlu_ru,0.0,0.64,0.36,0.7172000000000001
sbert_nlu_ru,0.0,0.66,0.33999999999999997,0.7158
sbert_nlu_ru,0.0,0.68,0.31999999999999995,0.7146999999999999
sbert_nlu_ru,0.0,0.7000000000000001,0.29999999999999993,0.7131
sbert_nlu_ru,0.0,0.72,0.28,0.7111000000000001
sbert_nlu_ru,0.0,0.74,0.26,0.7099
sbert_nlu_ru,0.0,0.76,0.24,0.7081
sbert_nlu_ru,0.0,0.78,0.21999999999999997,0.7062999999999999
sbert_nlu_ru,0.0,0.8,0.19999999999999996,0.7046
sbert_nlu_ru,0.0,0.8200000000000001,0.17999999999999994,0.7033
sbert_nlu_ru,0.0,0.84,0.16000000000000003,0.7011000000000002
sbert_nlu_ru,0.0,0.86,0.14,0.6998000000000001
sbert_nlu_ru,0.0,0.88,0.12,0.6992
sbert_nlu_ru,0.0,0.9,0.09999999999999998,0.6972
sbert_nlu_ru,0.0,0.92,0.07999999999999996,0.6961
sbert_nlu_ru,0.0,0.9400000000000001,0.05999999999999994,0.6934000000000001
sbert_nlu_ru,0.0,0.96,0.040000000000000036,0.6918000000000001
sbert_nlu_ru,0.0,0.98,0.020000000000000018,0.6908
sbert_nlu_ru,0.0,1.0,0.0,0.6857000000000001
sbert_nlu_ru,0.02,0.0,0.98,0.7217
sbert_nlu_ru,0.02,0.02,0.96,0.7311
sbert_nlu_ru,0.02,0.04,0.94,0.7385
sbert_nlu_ru,0.02,0.06,0.9199999999999999,0.742
sbert_nlu_ru,0.02,0.08,0.9,0.7463
sbert_nlu_ru,0.02,0.1,0.88,0.7497
sbert_nlu_ru,0.02,0.12,0.86,0.752
sbert_nlu_ru,0.02,0.14,0.84,0.7517999999999999
sbert_nlu_ru,0.02,0.16,0.82,0.7513000000000001
sbert_nlu_ru,0.02,0.18,0.8,0.7506
sbert_nlu_ru,0.02,0.2,0.78,0.7487999999999999
sbert_nlu_ru,0.02,0.22,0.76,0.7479000000000001
sbert_nlu_ru,0.02,0.24,0.74,0.7470999999999999
sbert_nlu_ru,0.02,0.26,0.72,0.7443000000000001
sbert_nlu_ru,0.02,0.28,0.7,0.7421
sbert_nlu_ru,0.02,0.3,0.6799999999999999,0.7411
sbert_nlu_ru,0.02,0.32,0.6599999999999999,0.7407999999999999
sbert_nlu_ru,0.02,0.34,0.6399999999999999,0.7395
sbert_nlu_ru,0.02,0.36,0.62,0.7384
sbert_nlu_ru,0.02,0.38,0.6,0.7363
sbert_nlu_ru,0.02,0.4,0.58,0.7351000000000001
sbert_nlu_ru,0.02,0.42,0.56,0.7355
sbert_nlu_ru,0.02,0.44,0.54,0.7334
sbert_nlu_ru,0.02,0.46,0.52,0.732
sbert_nlu_ru,0.02,0.48,0.5,0.7307
sbert_nlu_ru,0.02,0.5,0.48,0.7285
sbert_nlu_ru,0.02,0.52,0.45999999999999996,0.727
sbert_nlu_ru,0.02,0.54,0.43999999999999995,0.7243999999999999
sbert_nlu_ru,0.02,0.56,0.41999999999999993,0.7224
sbert_nlu_ru,0.02,0.58,0.4,0.7208000000000001
sbert_nlu_ru,0.02,0.6,0.38,0.7189
sbert_nlu_ru,0.02,0.62,0.36,0.7176999999999999
